category_id,category_name,category_desc
22,People & Blogs,Personal vlogs and lifestyle content from creators
24,Entertainment,General entertainment and pop culture content
23,Comedy,"Sketches, stand-up, and humorous content"
28,Science & Technology,Content about scientific topics and tech innovations
1,Film & Animation,"Content about movies, TV, and animated series"
25,News & Politics,"Current events, journalism, and political commentary"
17,Sports,Coverage of athletic events and sports highlights
10,Music,"Music videos, performances, and audio content"
15,Pets & Animals,Content featuring domestic pets and wildlife
27,Education,Educational videos and instructional content
26,Howto & Style,"Tutorials, DIY guides, and fashion content"
2,Autos & Vehicles,"Content about cars, trucks, and other vehicles"
19,Travel & Events,Content about travel destinations and live events
20,Gaming,"Video game playthroughs, reviews, and esports"
29,Nonprofits & Activism,Content from charitable organizations and advocacy groups
43,Shows,"Content featuring episodic series, sitcoms, and television shows"
